No GPU on this node, CUDA module not loaded
         103261 function calls (100735 primitive calls) in 369.667 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5550    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      537    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.002    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
      160    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gzip.py:1(<module>)
       11    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      298    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
1135/1130    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55cebf8367a0}
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
      144    0.000    0.000    0.002    0.000 typing.py:1640(__hash__)
        1    0.000    0.000    0.002    0.002 struct.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      586    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
       28    0.001    0.000    0.002    0.000 inspect.py:882(cleandoc)
      146    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       13    0.000    0.000    0.002    0.000 _parser.py:969(parse)
      283    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
     1373    0.001    0.000    0.002    0.000 typing.py:1161(_is_dunder)
      157    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
    20/13    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
    20/13    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       13    0.000    0.000    0.001    0.000 _compiler.py:578(_code)
       27    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
     1868    0.001    0.000    0.001    0.000 typing.py:1630(<genexpr>)
     1950    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       12    0.000    0.000    0.001    0.000 typing.py:1589(copy_with)
      146    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
       27    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
     1893    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
      537    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       55    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
        5    0.000    0.000    0.001    0.000 typing.py:2814(__new__)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
     3348    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
    41/13    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     3217    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       33    0.000    0.000    0.001    0.000 typing.py:1417(copy_with)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2382(_IPv6Constants)
      238    0.000    0.000    0.001    0.000 {built-in method builtins.max}
